node,cluster,x,y
COVIDinColorado,1,3.4795392,19.277515
CPublicPress,2,-8.46161,46.45525
CTVNationalNews,0,5.4765034,-23.790182
CTVNews,2,-8.305506,46.374493
CTV_AvisFavaro,0,5.3008647,-23.789999
C_19Vaccine,0,5.301384,-23.739128
CabellsPublish,2,-8.616101,46.612976
CableNewsInt,1,2.7237558,19.108866
Caerage,0,4.154604,-7.4093027
CalZole,0,5.471017,-24.15815
CalmWatersCare,1,3.5282574,19.547388
CamerimageFest,2,-36.11363,56.078312
CapnCrunch83,2,-36.316284,57.539604
CapoVelo,2,-35.524876,55.94174
CaptAKJ,0,1.8498187,-9.819643
Car44963428,0,1.7926427,-18.492596
CarbonCraftLtd,2,-35.330246,57.74054
CarbonUnit1980,0,5.1675696,-23.995407
CareGuardMask,1,-9.985741,10.163141
CarersPB,2,-34.519127,56.2687
CarlaNuevos,1,-10.098112,10.273451
CarlosL28684663,0,5.2800384,-24.065058
CarlosdelRio7,0,4.9133644,-24.016754
CarnellAnita,0,-10.112979,-7.2384567
CarolRo95120069,0,5.0531235,-24.148985
Carolin05749065,2,-31.543821,58.85472
Carolk81663133,0,-10.077225,-7.2607226
Carolyn83516214,2,-8.511746,46.47694
CarryOn54321,0,-10.284128,-7.148066
CastlDalmunzie,0,5.027864,-21.01077
Castoropollux2,1,-5.997917,28.252901
CathyFarrow1,2,-36.002113,56.38218
Celinuchis90,2,-35.638214,57.773182
Cemoto78,2,-34.50509,56.26564
CeoNewsTree,1,-9.097575,10.584487
Change57218494,1,-9.25232,26.750027
Channel54News,0,4.5978823,-22.950645
Charley2021,0,-10.340214,-7.0906434
ChartersAndCo,0,4.2984056,-22.082756
ChavezEdua1234,1,3.641278,19.388424
ChinaDaily,1,-7.714445,11.089039
ChinaObserver2,2,-34.74685,57.842094
ChinaScience,2,-35.172215,56.565857
ChiralMiller,2,-8.2114935,46.619938
ChordUK,2,-35.857372,56.73364
ChrisLancashir3,2,-35.55896,56.9127
ChristRescues,1,-6.8103924,28.458385
Christi24463334,1,2.210929,19.119598
Christunquote,0,4.5192976,-23.29439
Christy85286792,0,2.0888944,-18.073248
ChuckDalldorf,2,-35.153553,58.117184
CianGaia,0,-10.177501,-7.285324
CindiRogers15,1,3.558503,19.302732
CitizensFedUp,0,4.6058893,-22.982027
ClaireBQuinn,0,-10.197873,-7.3754
ClareSt10290127,0,5.213859,-24.250109
Clarksville_TN,1,-10.275752,10.328476
ClausSp27,1,2.7425165,18.864788
ClbChrstnsn,0,5.0292754,-24.05767
Cleavon_MD,0,-10.103452,-7.316927
ClevengerSharon,0,5.099442,-24.104109
CleverBib,1,-10.09736,10.20902
Clin_Owl_Resp,1,-6.9634824,11.724272
CllrBSilvester,0,-10.334658,-7.1327586
Cocolores20,2,-36.177143,56.74729
CodeGnuts,0,4.2862077,-23.006332
CodePolymath,1,-6.9666,28.844038
Cognisant2000,0,5.411871,-24.307138
Colin_CWilliams,1,-6.836698,28.839647
CollectedTimes,1,-9.99558,10.168365
ConnexionFrance,2,-34.34169,57.44575
Conservative_PH,0,4.6487174,-22.952808
Contagion_Live,0,4.061936,-7.4848437
ContextoSinR,2,-36.156788,56.5737
ConwellDarrell,1,-7.7025595,11.086961
Cor3yL,0,4.1879582,-7.3848796
CordeiroRick,2,-35.986977,56.052364
CoronaBot20,1,-7.7226915,29.082401
CoronaRecovery,2,-36.465103,56.63381
CoronaStat,2,-35.81118,56.183445
CoronaStocks,2,-34.99319,58.72383
CoronaUpdateBot,2,-33.927624,58.597008
CoronaVirusDai7,2,-32.64283,58.45699
CoronaVirus_b,2,-35.416504,56.25503
CoronaWorldStat,2,-8.440526,46.69675
Corona_chan_,2,-34.91019,56.360058
CoronavirusArgg,1,3.6415339,19.530754
CoronavirusCD19,2,-35.69086,56.16574
CoronavirusNewv,0,4.9742503,-23.562765
Corowell_Pass,2,-33.874203,56.841175
CorruptNSW,0,-9.977213,-7.222974
CosmoMiddleEast,0,5.519272,-24.18231
Covid19RioNegro,2,-35.852287,56.147472
Covid19Shujaaz,2,-35.73386,56.21489
Covid19TravelUK,2,-35.350647,57.07539
CovidBrazil,2,-35.72354,56.139343
CovidCitSci,2,-8.330671,46.415676
CovidIndiaSeva,2,-31.407679,58.914368
CovidObsessed,0,5.2188983,-24.367216
CovidPete,2,-35.888306,56.39174
CovidTweet,2,-33.928707,56.819378
CovidWa,0,5.092227,-23.929596
CovidenceUK,0,4.8882413,-24.153267
CowboySciFiBot,2,-34.482086,57.419785
CricBollyBuzz,0,4.9215693,-24.391481
CrowdedHead,2,-34.938835,55.97788
CryoPerSea,0,4.159558,-7.38242
Crypto_DeezNutz,2,-33.171494,58.340687
Cs6inw55dz0cap0,2,-28.916557,58.181767
CultureLover_it,2,-34.012463,57.798424
CupofJoeintheD2,0,4.9109907,-24.378006
Cuppy1,0,5.1934776,-23.992846
CyberSecurityN8,2,-35.31724,57.259384
CyberlawConf,2,-35.938873,57.240967
Cybrarian64,0,1.9323395,-9.79131
DCAbloob,0,5.2085247,-24.080189
DCFreespiritDC,1,-6.5680017,28.48051
DDGaddis,0,4.1933384,-7.3447504
DJTMentionsBot,0,5.3713737,-24.361368
DMG_AZ,2,-35.886337,56.256073
DMNorthdistt,2,-35.713524,56.105503
DModexd88,1,-8.4180565,19.023937
DNA_RNA_Uni,2,-36.43183,56.613537
DRicebowl,0,2.1315696,-18.016819
D_nickinc,0,4.994457,-24.059105
DagmarBleasdale,0,19.90945,-8.820976
DailyNewsEgypt,2,-34.855057,57.7834
DailyTheDestin,1,-7.1208878,28.526945
DailyUSANews,0,3.439753,-22.077505
Daimond19800,1,3.0651097,18.896667
DaleNortier,0,5.1220083,-24.44752
DanBennett78,1,-9.702655,10.559736
DanGarrett97,2,-34.877914,56.451534
DanSummersAB2,0,1.8494296,-10.944758
DangHaMai2,1,3.726326,19.364023
DanielBayley80,1,-7.189397,28.523901
DannyWijnhoud,0,5.022195,-21.038351
DannyWilde17,0,1.9991012,-9.635481
Dapperedodo2,0,5.0022073,-24.209442
Dare2BWell,0,4.625401,-23.257141
DarosebrughDeb,0,4.7986135,-23.182085
DarrenNg1106,1,-8.446388,18.99568
DarrylMason,0,5.233663,-23.91164
Dave2307,2,-34.578495,58.094627
DavidHilzenrath,2,-34.96367,58.777363
David_Gryler,1,-8.341187,27.515165
DaviesBooks,0,5.2467823,-23.8964
DazHarmer,2,-33.899464,56.833813
DeadIsAlive3,0,3.811667,-22.807653
Dead_Z0mbie,0,4.57627,-22.560577
DeadpoolUnna,1,-8.449536,18.992538
DeanCrystle,2,-8.576517,46.55069
DebbieSVA,0,4.8818793,-24.276285
DeceitinDrugs,0,5.065703,-24.401316
DefenderValues,0,4.375668,-24.62131
DelilahVeronese,2,-35.855038,56.095966
DeliverTruth__,2,-28.827845,58.22863
DellaBuchanan12,2,-31.520292,58.85104
DelthiaRicks,1,3.4982488,19.406658
DerbyGripe,1,-6.0360594,28.31997
DerikMuah,1,-9.183385,26.938986
DevonCC,1,3.4700427,19.118546
DevonEYCS,1,-10.105455,10.243661
DianeFreeling,2,-35.750854,56.28861
DianeShears,0,5.036366,-24.208763
DianeXavier12,0,4.5356727,-24.742996
DibyajyotiP2015,2,-36.368786,56.64137
DiegoCimino,0,3.9882789,-24.207932
DigbyKale,0,19.950798,-8.868606
DigiThane,2,-35.661133,56.367325
Dill_hindustani,0,4.502466,-24.753035
DisparatePost,0,19.924917,-8.837363
DivaKnevil,0,1.8904955,-10.001455
DivineLove333,0,-9.605858,-6.551287
DivinityMemes,1,-9.51324,10.030843
DizzydotDaisy,1,-8.465583,18.976528
DjCowboy64,2,-34.649837,55.942448
DocCMartin,0,4.2589006,-23.802244
DoctorsForBiden,0,4.627202,-23.317913
DonnaPe62546732,2,-31.536469,58.851246
DonnaShuster2,0,4.0403733,-24.163183
DonnaYoungDC,0,4.9608293,-21.115366
Dorothy30901458,2,-36.308422,57.016064
DostiFM98,1,3.0770018,18.964964
Dplrblmctnght,0,4.516336,-23.09824
DrAhmedKalebi,0,4.260006,-23.318283
DrAnthony,1,-6.7122064,28.538256
DrDenaGrayson,2,-35.737812,56.249588
DrGurdeepParhar,0,-3.0531304,-6.884115
DrHugue,2,-35.661358,56.2229
DrMurad_PTI,2,-35.606636,56.35807
DrPanMD,2,-35.64676,57.567703
DrRohitVarma,2,-36.304745,56.75598
DrRonaldBeach,2,-35.4317,56.28999
DrSenait,0,4.4939175,-23.58981
DrWiseBlog,2,-36.28168,57.866024
DrZhaoYanbo,0,1.9403867,-9.6315775
Dr_AmyD,0,3.3755531,-8.593614
Drawitall,2,-33.340065,58.235588
DrewZola,0,-9.996593,-7.166113
DrumChronicles,0,4.974353,-24.257391
DuaSahildua1,1,2.667125,19.164577
DuggerDigs,1,-6.572765,28.61699
DukeGhic,0,3.8337278,-7.856494
EC_Equality,0,4.6213365,-24.245752
EFEnoticias,1,3.6013715,19.374243
EMSWorldOFCL,0,5.041357,-24.293955
EPlurUnum,0,4.9495497,-23.936327
ESPIDsociety,0,4.8332376,-24.186209
ETBSports,2,-34.70826,56.090054
ETHealthWorld,2,-34.844955,57.75009
EUwatchers,0,4.035309,-22.644823
EZKelley,2,-35.444557,56.478455
EZR_news,0,4.995555,-24.233812
EarthWizardInfo,1,2.731569,18.8871
Earth_Forecast,0,4.8886986,-24.393703
EbonyMissyj,0,1.9460114,-9.755558
Echinanews,0,4.944746,-24.391298
EchoTribune,1,3.574503,19.488789
Edged_In_Blue,1,-6.9719543,11.711506
Egaleonis,0,4.7193985,-24.268236
Eilonwy24,0,4.6506186,-24.417873
ElaineJackson12,1,-7.2517667,28.799265
ElenaBec,2,-35.584316,56.304653
ElinSilveous,0,4.6447864,-24.428358
EmekaOkoye,0,4.145195,-7.3980527
Emine28294880,1,-9.86327,10.249032
EmmesCRO,0,4.179293,-7.3696084
Emperatriz1827,2,-35.576458,56.204792
EpiWhisp,0,19.905727,-8.83885
EpidemicIndex,1,-7.4748235,28.974356
Eric_Allen18,1,-8.700992,27.35656
Eric_Holdeman,2,-36.12899,57.00942
ErinaK19,1,-8.458254,18.98382
ErraticleeM,2,-33.153095,58.285374
EscapeEmporium,0,-9.920072,-6.9714136
EsheHill,0,4.7644362,-24.293839
EssjSongoku,2,-34.58878,55.923576
Estigiaed,0,4.8667846,-24.218693
EugeneS16580264,2,-31.534698,58.851334
EvanKirstel,1,-6.036086,28.351568
EvertonRob1,1,3.1136386,19.449146
ExagenInc,1,-9.073297,10.61126
Expoworldlogis1,0,4.8668523,-24.33028
Extra_Covid19,1,-7.666047,11.049329
Extranenne,0,4.6852026,-24.33023
FABSON_STATION,2,-36.401066,57.430855
FCB007a,0,4.919485,-24.328075
FKUJAK1,0,4.0434957,-23.16548
FOX46News,2,-35.50475,56.152195
FTJ22211,2,-28.906025,58.1895
Faby_Nava77,0,4.745958,-24.29238
FaceMaskPlus_,1,-6.5859222,28.834099
FahimaRita1,2,-33.85763,56.107094
FahimaRita7,2,-34.380203,56.1196
FedUpSpeakinUp,0,1.9597968,-10.135464
FellowHelping,1,-8.440513,19.001587
FergusMcPop,1,3.4785626,19.436455
Figgeduni,0,4.6548944,-24.064293
FinancialMSW,2,-8.418161,46.582664
FinancialXpress,1,-6.0141606,28.434677
Firestorm1776,0,2.1174486,-18.04926
FixPatentLaw,0,4.8244205,-24.47045
Flanders_TX,0,4.7787623,-24.389147
FlightModeblog,2,-34.787476,56.592976
FooooooMedia,2,-8.048973,47.025978
FootballNScrubs,0,4.6864457,-24.416597
ForLoveofaBoy,0,19.90825,-8.860852
ForeverWeDream,1,-6.5184665,28.60722
ForgeRat,2,-34.965275,58.751427
FrankNied,1,-6.993133,11.691976
FreeTibet_in,0,3.3803108,-8.619915
FreeTravelTips,2,-8.618139,46.581078
FyezahJehan,0,4.825412,-24.01282
GCK1923,0,2.120345,-17.997221
GContrarian,0,4.620045,-24.244345
GDNonline,2,-35.74724,56.43822
GEOembassyNL,1,-6.8114257,28.711195
GETAnalysis,2,-35.235863,57.743362
GHS,2,-35.67973,56.283707
GIFFCloud,1,-8.42199,19.020117
GIMaPreceptor,0,4.697782,-24.278223
GNGAgritech,1,-9.657766,10.077777
GVfashion2021,2,-34.065735,57.59112
Gabber07,2,-31.471159,58.88033
GaianLight,2,-8.394984,46.72712
