node,cluster,x,y
Aalto_Bio,1,-4.95529,-1.5822985
AaronGBurnett,1,-5.78809,-1.897244
Aaron_Derfel,0,13.337714,-7.186907
AbangC2,1,3.6767728,-9.912912
Abasimba_700lvl,0,15.39872,-1.4810691
AbbeyBlackSwan1,1,-6.268888,-2.1391702
Abbhiha,0,19.29321,-7.1466165
AbbySta80684037,0,14.4329405,4.990773
AbcoSpecialties,0,14.360266,4.3504195
Abdas10703626,1,-5.897137,-0.984517
AbdiOmartv,1,2.0016274,3.944748
AbdirahmanAli0,1,-6.087124,-1.9063835
AbdulRazaq_PH,1,-4.5202956,-2.1980886
AbdullahhZahid,0,13.183386,-6.2741117
AbdulsatarBoch1,1,-5.515832,-1.2216274
AbhiJee32986874,0,14.623288,4.5074153
AbhijeetJagtapV,0,14.890294,-0.05271088
AbhiroopRishi,1,5.86364,-9.204488
AbhishekMatiman,0,13.350245,1.0844153
AbkhaziaP,0,15.211724,-1.4163558
AbleCain1,0,11.967121,13.11095
Aboubakar_K,0,11.989839,-18.39402
AboutMedtech,0,6.122946,7.2467995
AboutTrumpBiden,0,13.332797,-0.84329665
Abricks3,0,14.678,4.9237576
AbuAshaarab,0,19.234285,-7.7302356
AcademyEdukare,0,12.034762,12.345055
Academy_Centa,1,2.7227395,3.1510262
AccFreedom,0,13.079994,2.2450686
Accionista16,0,14.963006,4.417076
AccroglianoL,0,13.55731,4.654313
AcctbleHealth,0,11.791223,-5.2597356
AccuroFit,0,14.73625,0.6529297
AchaiboClinical,0,14.520061,4.2842746
AchimMuellers,1,-6.0560737,-1.2118275
AclomaxAllen,1,1.9280305,4.528942
Activesoundpro,0,14.511804,17.087004
ActorDeborah,1,1.8270469,3.0338998
ActusPays,1,-5.9137855,-2.4454598
AcutisLab,1,-5.169434,-0.8540295
AdaShriadhar,1,-6.167215,-0.92905676
Adaba889fm,1,-5.157754,-1.6996484
Adam71181572,0,12.555439,2.6737115
AdamArmfield,1,0.47894013,10.786854
AdamaToulon,1,3.0532405,2.512615
AdavisWilliams,1,0.45984542,10.730616
Addalicious2,0,15.871334,0.0260965
AddictSadi,1,-6.068733,-1.6093081
AddsEvery,0,11.44418,0.16286938
AdeptLegal,0,19.563818,-7.711357
AdhiamboRosie,1,3.249162,2.0196152
Aditi14Bhardwaj,1,-6.3248897,-2.011688
AdityaSharda18,0,11.966466,-4.6162233
Adm_deRuyter,0,13.025162,2.259454
AdnanWaraich5,0,19.568466,-7.884347
AdrianH23960172,1,1.8858384,4.571542
AdrianRP_,0,14.394264,17.20154
AdrianaHeguy,1,-5.759392,-2.2267835
AdvManishRaj,1,-5.7451444,-1.2915732
AdvMedCert,1,5.6039534,-6.70267
AdvaVilchinski,1,2.8213274,-12.750591
AdventureGyan,0,14.215357,5.0516825
AdvertisingLaw,0,14.692491,5.4138684
AdvisoryBd,1,0.3612971,10.6485405
AdvocateCal,0,19.873997,8.137635
Advocates_OMI,1,-6.497211,-1.2453315
Aeey00996468,0,19.880405,8.004902
Aethelflaed6,0,22.174395,7.3586683
Aethonaia,0,11.435304,0.1633909
AffiliateTiki,0,16.850313,-5.881532
AfiaSalma9,1,1.9380231,3.6381907
AfricaClear,0,4.666831,3.2900174
AfricanBizMag,1,-5.8417974,-2.2122507
Afro_Crypto,1,-5.651492,-2.0852897
AgenciaAJN,0,13.695752,3.6592948
AgentAscension,0,15.1666765,5.0606475
AgnesNorman64,0,17.088322,-7.627968
Agrant3595Grant,0,22.291265,7.463278
AhamedShaiakh,1,0.29672056,10.443631
AhmadHazzim,0,12.010238,12.689833
AhmadIskandarZ,0,11.49159,12.955524
Ahmadyuu,1,-6.349114,-1.7475625
AhmannFrank,1,-5.189739,-1.5733751
Ahsan98_Khan,1,1.0007564,10.852387
AiLagertha,1,-6.4585843,-0.8823454
Aibuiwai,0,14.572081,5.2313814
AidanBaker,1,-5.700208,-0.94787556
AiderCruise,1,3.564851,-9.660318
Aileen95139877,0,25.859646,-1.9629785
AinabyonaJoanne,1,3.3080513,4.7528477
Ainfluencer_,0,14.7001915,0.6696088
AinnaNasrin,0,11.528255,13.25993
AintYoWillis,1,0.5064169,10.638955
AirDoctorApp,1,6.9395313,-14.923182
Airdrop8181,0,13.406958,-7.2517643
AirlineNews,0,21.055086,-9.859188
