,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
36346,2020-11-02 15:58:50,86_45_2020_ok,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293498544672775,0,0,0,0,1.3232912756137574e+18
47096,2020-11-02 15:58:50,86_45_2020_ok,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293498544672775,0,0,0,0,1.3232912756137574e+18
57846,2020-11-02 15:58:50,86_45_2020_ok,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293498544672775,0,0,0,0,1.3232912756137574e+18
68596,2020-11-02 15:58:50,86_45_2020_ok,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293498544672775,0,0,0,0,1.3232912756137574e+18
79346,2020-11-02 15:58:50,86_45_2020_ok,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293498544672775,0,0,0,0,1.3232912756137574e+18
90096,2020-11-02 15:58:50,86_45_2020_ok,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293498544672775,0,0,0,0,1.3232912756137574e+18
10075,2020-11-02 16:07:17,1000rrKnight,False,True,"Translation: We will increase your taxes to pay for it so we can enrich ourselves &amp; our friends. Mask mandates for the foreseeable future"" (masks forever).""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323295627825074177,0,0,0,0,
20825,2020-11-02 16:07:17,1000rrKnight,False,True,"Translation: We will increase your taxes to pay for it so we can enrich ourselves &amp; our friends. Mask mandates for the foreseeable future"" (masks forever).""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323295627825074177,0,0,0,0,
31575,2020-11-02 16:07:17,1000rrKnight,False,True,"Translation: We will increase your taxes to pay for it so we can enrich ourselves &amp; our friends. Mask mandates for the foreseeable future"" (masks forever).""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323295627825074177,0,0,0,0,
42325,2020-11-02 16:07:17,1000rrKnight,False,True,"Translation: We will increase your taxes to pay for it so we can enrich ourselves &amp; our friends. Mask mandates for the foreseeable future"" (masks forever).""",This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,1323295627825074177,0,0,0,0,
