,index,Unnamed: 0,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
59,539,115767,2020-11-02 16:02:18,BenMastaitis,True,True,RT @ParkerMolloy: Here’s Trump loyalist Richard Grenell passing off a photo from 2019 to make it seem like Biden is a hypocrite on masks.…,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323294369806503938,0,0,0,0,1.3232552828107162e+18
60,548,123745,2020-11-02 16:33:34,BettyGooch3,True,True,RT @gregpmiller: Just the former U.S. director of national intelligence spreading disinformation on eve of an election. (The photo is from…,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323302238362734599,0,0,0,0,1.3232710584562565e+18
61,573,112957,2020-11-02 15:27:25,Bianca10462152,True,False,RT @Cleavon_MD: My stepfather died alone of COVID-19 as Donald Trump throws unmasked rallies https://t.co/umaqc0tTy2,,,,,,1323285594391367680,0,0,0,0,1.3231822310623724e+18
62,574,120565,2020-11-02 15:24:02,Bianca10462152,True,True,RT @gregpmiller: Just the former U.S. director of national intelligence spreading disinformation on eve of an election. (The photo is from…,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323284742524014593,0,0,0,0,1.3232710584562565e+18
63,575,121322,2020-11-02 15:41:35,Bianca10462152,True,True,"RT @DanLamothe: Hours later, this tweet is still up.  The photo on the left is from last year, and taken before the pandemic.","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323289157653929984,0,0,0,0,1.3231187826976113e+18
64,584,123890,2020-11-02 16:36:43,BigMommaLurka,True,True,RT @JohnJHarwood: what’s phony here is @RichardGrenell misrepresenting a photo of Biden from 2019,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,JohnJHarwood;RichardGrenell,1323303034672324609,0,0,0,0,1.323287997564027e+18
65,593,112194,2020-11-02 15:18:25,Bk_prasanta,True,False,"RT @HFWOdisha: Every day is another day to keep #COVID19 at bay. Wear facemask whenever you go outside, maintain social distance &amp; wash you…",,,,,,1323283329873899521,0,0,0,0,1.3232199994319544e+18
66,602,117038,2020-11-02 16:19:59,Blink2XAmerica,True,False,"RT @davidhogg111: Don’t just like or rt, wear a damn mask and support our fellow Americans who don’t have food by donating here directly or…",,,,,,1323298821435252741,0,0,0,0,1.320510258289193e+18
67,611,122504,2020-11-02 16:05:05,BluTexGal,True,True,"RT @steve_vladeck: Dear @RichardGrenell:  As anyone can see for themselves, the picture you've posted (nicely edited to crop out the captio…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,steve_vladeck;RichardGrenell,1323295073006723072,0,0,0,0,1.323289309210882e+18
68,620,122242,2020-11-02 15:59:41,BlueMoves76,True,True,"RT @steve_vladeck: Dear @RichardGrenell:  As anyone can see for themselves, the picture you've posted (nicely edited to crop out the captio…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,steve_vladeck;RichardGrenell,1323293712533852161,0,0,0,0,1.323289309210882e+18
69,629,122692,2020-11-02 16:09:49,BoGuadalupe321,True,True,"RT @joelockhart: since this picture was taken in 2109, it should scare all Americans that someone that can be taken in so easily was runnin…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323296265208131585,0,0,0,0,1.3232723554147082e+18
70,638,113697,2020-11-02 15:35:47,BonnieSchumm,True,False,"RT @RichardGrenell: Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,RichardGrenell;JoeBiden,1323287699143479296,0,0,0,0,1.3230210947737887e+18
71,647,121631,2020-11-02 15:46:32,Bonnievee57,True,True,"RT @ememess: Given that this picture is from November 2019, maybe you should take this tweet down? Otherwise people might assume you're a l…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323290405383905280,0,0,0,0,1.323288211062362e+18
72,656,122648,2020-11-02 16:08:39,BookWorm33333,True,True,RT @gregpmiller: Just the former U.S. director of national intelligence spreading disinformation on eve of an election. (The photo is from…,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323295968385732608,0,0,0,0,1.3232710584562565e+18
73,665,113091,2020-11-02 15:28:36,Bookworm,True,False,"RT @nytimes: With coronavirus cases rising in the U.S., Europe and many other places across the globe, wearing a mask is more important tha…",,,,,,1323285891201277952,0,0,0,0,1.322615299036848e+18
74,674,116528,2020-11-02 16:12:49,Bortne24,False,False,"@GFL9112 @reetzhilly I saw a notice on a pub window yesterday. You weren't allowed in in groups of more than 6, and you had to wear a face mask... UNLESS you were sitting at a table.  Apparently, tables protect you from Covid, which is why they're not all dead yet.",,,,,GFL9112;reetzhilly,1323297016877850630,0,0,0,0,
75,683,122064,2020-11-02 15:56:23,BostonSister,True,True,"RT @GaryLegum: People keep sneering about a former acting DNI tweeting this garbage (pic on left is from Nov. 2019) but to be fair, Grenell…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323292884515381248,0,0,0,0,1.323292291541422e+18
76,692,113276,2020-11-02 15:30:32,BrianJLafferty,True,True,RT @ParkerMolloy: Here’s Trump loyalist Richard Grenell passing off a photo from 2019 to make it seem like Biden is a hypocrite on masks.…,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323286376322879494,0,0,0,0,1.3232552828107162e+18
77,709,116671,2020-11-02 16:14:46,BrianLWilcox,False,False,It's the perfect irony: Trump's former acting Director of National Intelligence is peddling a photo suggesting Biden doesn't wear a mask when on his campaign flights. The photo was taken in Nov. 2019.  @RichardGrenell is a fraud.,,,,,,1323297509079330822,0,0,0,0,
78,710,121964,2020-11-02 15:54:16,BrianLWilcox,False,True,Galaxy Brain and former acting head of National Intelligence @RichardGrenell offers a photo from November 2019 of Biden talking to his campaign staff and implies that it was taken during the Trump Plague era.  Yamamoto &amp; Biden huddle on a flight to South Carolina in November 2019,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323292349691129861,0,0,0,0,
79,719,119956,2020-11-02 15:05:32,BrodyCOConnell1,True,True,RT @jfreewright: The first photo is from November 2019.   What is this illness? This guy was Trump Cartel Ambassador to Germany for two yea…,"Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,,1323280086624309251,0,0,0,0,1.3232753861223916e+18
80,728,122791,2020-11-02 16:12:22,Brokenroad7,True,True,"RT @steve_vladeck: Dear @RichardGrenell:  As anyone can see for themselves, the picture you've posted (nicely edited to crop out the captio…","Washington, DC phony!  @JoeBiden doesn’t wear a mask on a plane - but wears one OUTSIDE!? https://t.co/7q0LG09bOq",,,,steve_vladeck;RichardGrenell,1323296904399171585,0,0,0,0,1.323289309210882e+18
81,745,111486,2020-11-02 15:09:46,BruceExotic,True,False,RT @brento76: So Orange Theory wants you to wear a mask into the lobby of the studio and then you can take it off once you head into the wo…,,,,,,1323281151193239553,0,0,0,0,1.3232802550256353e+18
82,746,115330,2020-11-02 15:56:36,BruceExotic,True,False,RT @SaintRPh: If you vote for Biden he said he will make it mandatory NATIONWIDE to wear a mask! A mask for the next 4 years. Is that what…,,,,,,1323292935740379142,0,0,0,0,1.3232671064446157e+18
