,index,Unnamed: 0,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
799,7207,89373,2020-11-02 15:54:36,judysch32907283,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323292433803841537,0,0,0,0,1.3232912756137574e+18
800,7208,95691,2020-11-02 15:55:47,judysch32907283,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323292733621108737,0,0,0,0,1.3232869408971284e+18
801,7217,95603,2020-11-02 15:54:30,julieerickson63,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323292408142913537,0,0,0,0,1.3232869408971284e+18
802,7226,92144,2020-11-02 16:15:34,justicenfairnes,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323297708333965313,0,0,0,0,1.3232912756137574e+18
803,7235,87386,2020-11-02 15:28:10,jzomom,True,False,"RT @BNODesk: Singapore has reached 3 days with no new domestic cases of coronavirus, a first since COVID-19 began spreading in February",,,,,,1323285779754426368,0,0,0,0,1.323279280663679e+18
804,7244,88731,2020-11-02 15:51:47,kamran_fareedi,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323291726639992832,0,0,0,0,1.3232912756137574e+18
805,7253,90656,2020-11-02 16:02:32,kate_sheridan,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323294430074441728,0,0,0,0,1.3232912756137574e+18
806,7262,95900,2020-11-02 16:01:15,katgal4,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323294107406462976,0,0,0,0,1.3232869408971284e+18
807,7279,93924,2020-11-02 16:35:17,katona_barbara,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323302670782722049,0,0,0,0,1.3232912756137574e+18
808,7280,94261,2020-11-02 16:39:18,katona_barbara,True,False,"RT @GeigerNews: Hey, President Pandemic (@realDonaldTrump), where do I go to get that Coronavirus vaccine you said would be ready by this w…",,,,,GeigerNews;realDonaldTrump,1323303685145784320,0,0,0,0,1.323294618344026e+18
809,7305,89134,2020-11-02 15:53:22,kbarkerb,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323292124004159490,0,0,0,0,1.3232912756137574e+18
810,7306,95677,2020-11-02 15:55:41,kbarkerb,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie.,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323292706752335879,0,0,0,0,1.3232917607605617e+18
811,7307,95701,2020-11-02 15:56:00,kbarkerb,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323292787773722626,0,0,0,0,1.3232869408971284e+18
812,7316,95501,2020-11-02 15:53:09,keenanls,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323292068635119626,0,0,0,0,1.3232869408971284e+18
813,7325,88602,2020-11-02 15:51:22,keith2040,False,False,"@KainKendall China Coronavirus has been Control issue fr start. Instead of calling it lab developed Bioweapon from Commie China Wuhan Institute of Virology they call it sars-cov-2 or Covid-19. then we r masked, isolated, quarentined, shut out of business until election. Even voting is changed",,,,,,1323291622063460353,0,0,0,0,
814,7334,89668,2020-11-02 15:56:16,kelli_king66,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323292854362525698,0,0,0,0,1.3232912756137574e+18
815,7343,95313,2020-11-02 15:46:01,keltmoss4,False,True,Communist China released the China Virus purposely as a Political Weapon. They know exactly what they are doing.,"#Tedros, the #WorldHealthOrganization's director-general, propagated #China's narrative that #COVID19 was not contagious when senior #WHO doctors knew that it was. #coronavirus",,,,,1323290274949328898,0,0,0,0,
816,7352,95355,2020-11-02 15:48:48,kenkircher1,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290973254856707,0,0,0,0,1.3232869408971284e+18
817,7361,93753,2020-11-02 16:32:50,kevin_cracknell,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323302057596669954,0,0,0,0,1.3232912756137574e+18
818,7370,93946,2020-11-02 16:35:34,kevinat_thomas,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323302744732667916,0,0,0,0,1.3232912756137574e+18
819,7387,88452,2020-11-02 15:50:54,kimberlycronkr3,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323291500877209601,0,0,0,0,1.3232912756137574e+18
820,7388,94638,2020-11-02 14:59:32,kimberlycronkr3,False,True,"@realDonaldTrump  Has NOT one ☝🏼 Time shown any Empathy, Remorse for 230,000 lives gone in just a short 10 months 9M+ NOT ONE Ounce !!! #vote for Our Children....","An eighth grade Missouri boy died over the weekend of Covid-19 complications, becoming the state's, and one of the nation's, youngest death from the coronavirus. https://t.co/0EnLKx9uJJ",,,,,1323278574581735425,0,0,0,0,
821,7397,88537,2020-11-02 15:51:10,kirby828,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323291569999564800,0,0,0,0,1.3232912756137574e+18
822,7406,94650,2020-11-02 15:00:19,kkattttttt,True,True,RT @prayingmedic: 99.997 % survive and go on to live normal lives. https://t.co/EEOoTdblds,"An eighth grade Missouri boy died over the weekend of Covid-19 complications, becoming the state's, and one of the nation's, youngest death from the coronavirus. https://t.co/0EnLKx9uJJ",,,,,1323278772557303809,0,0,0,0,1.323271434173522e+18
823,7423,90815,2020-11-02 16:03:40,kskm126_susan,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323294715329085441,0,0,0,0,1.3232912756137574e+18
824,7424,90953,2020-11-02 16:04:43,kskm126_susan,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323294980794994698,0,0,0,0,1.3232912756137574e+18
825,7481,96442,2020-11-02 16:24:19,kushal_gehlot,True,True,RT @rohini_sgh: Excellent decision. Other states must also.,"State govt has taken the decision to ban the sale and bursting of firecrackers in order to protect health of #COVID19 infected patients &amp; public from poisonous smoke emanating due to fireworks. In this challenging corona pandemic time,protecting lives of ppl is paramount for govt",,,,,1323299912994365447,0,0,0,0,1.3231391434513367e+18
826,7482,96445,2020-11-02 16:24:25,kushal_gehlot,True,True,RT @baxiabhishek: Thank you. More states should follow this.,"State govt has taken the decision to ban the sale and bursting of firecrackers in order to protect health of #COVID19 infected patients &amp; public from poisonous smoke emanating due to fireworks. In this challenging corona pandemic time,protecting lives of ppl is paramount for govt",,,,,1323299937581367296,0,0,0,0,1.3231393610939187e+18
827,7483,96448,2020-11-02 16:24:31,kushal_gehlot,True,True,RT @CemShweta: Commendable move in the interest of public health by the government of #Rajasthan. First state to officially recognise air p…,"State govt has taken the decision to ban the sale and bursting of firecrackers in order to protect health of #COVID19 infected patients &amp; public from poisonous smoke emanating due to fireworks. In this challenging corona pandemic time,protecting lives of ppl is paramount for govt",,,,,1323299961522417669,0,0,0,0,1.3231824280059126e+18
828,7484,96451,2020-11-02 16:24:36,kushal_gehlot,True,True,RT @_sayema: Rajasthan govt will also make masks compulsory through law. Well done @ashokgehlot51 ! Mask is the Vaccine!,"State govt has taken the decision to ban the sale and bursting of firecrackers in order to protect health of #COVID19 infected patients &amp; public from poisonous smoke emanating due to fireworks. In this challenging corona pandemic time,protecting lives of ppl is paramount for govt",,,,_sayema;ashokgehlot51,1323299985778094081,0,0,0,0,1.3231447030474465e+18
829,7485,96462,2020-11-02 16:25:13,kushal_gehlot,True,True,RT @abhisar_sharma: All chief ministers should take similar steps.well done. Will be helpful to all Corona patients .,"State govt has taken the decision to ban the sale and bursting of firecrackers in order to protect health of #COVID19 infected patients &amp; public from poisonous smoke emanating due to fireworks. In this challenging corona pandemic time,protecting lives of ppl is paramount for govt",,,,,1323300139310567424,0,0,0,0,1.3231430318438113e+18
830,7486,96475,2020-11-02 16:25:54,kushal_gehlot,True,True,RT @amitbisht280: Well decision @ashokgehlot51 government for save environment,"State govt has taken the decision to ban the sale and bursting of firecrackers in order to protect health of #COVID19 infected patients &amp; public from poisonous smoke emanating due to fireworks. In this challenging corona pandemic time,protecting lives of ppl is paramount for govt",,,,amitbisht280;ashokgehlot51,1323300311742599168,0,0,0,0,1.3232022576979968e+18
831,7487,96479,2020-11-02 16:26:04,kushal_gehlot,True,True,RT @bainjal: Well done every single state should follow this....,"State govt has taken the decision to ban the sale and bursting of firecrackers in order to protect health of #COVID19 infected patients &amp; public from poisonous smoke emanating due to fireworks. In this challenging corona pandemic time,protecting lives of ppl is paramount for govt",,,,,1323300353111060481,0,0,0,0,1.323145861879255e+18
832,7496,87654,2020-11-02 15:35:03,kymburleigh,True,True,RT @atrupar: Definitely the guy you want in charge of coronavirus vaccine logistics,"Hours after the President departed for Florida, this was the scene in Georgia as people were left for hours waiting for buses to take them to their cars: https://t.co/rx34hXSR2U",,,,,1323287515416068097,0,0,0,0,1.32324051499767e+18
833,7505,96036,2020-11-02 16:05:41,ladyred662,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323295223020093441,0,0,0,0,1.3232869408971284e+18
834,7514,91079,2020-11-02 16:05:52,ladyygagie,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323295268062720000,0,0,0,0,1.3232912756137574e+18
835,7523,89483,2020-11-02 15:55:11,larry8054,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323292579467853825,0,0,0,0,1.3232912756137574e+18
836,7532,88318,2020-11-02 15:50:31,lbanter1,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323291406543310849,0,0,0,0,1.3232912756137574e+18
837,7541,95352,2020-11-02 15:48:37,legrandlustucru,True,True,"RT @RepDonBeyer: This was a lie. They knew it wasn't going to happen and they said it anyways, as they have done from the beginning of the…",Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,,1323290926945624064,0,0,0,0,1.3232869408971284e+18
838,7550,89865,2020-11-02 15:57:24,lewing99,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293138690088960,0,0,0,0,1.3232912756137574e+18
839,7559,89957,2020-11-02 15:58:03,lnordike,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323293303727661056,0,0,0,0,1.3232912756137574e+18
840,7568,91012,2020-11-02 16:05:12,longlivereigns,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323295099548241921,0,0,0,0,1.3232912756137574e+18
841,7577,96388,2020-11-02 16:21:15,lori_dubbs,True,True,RT @donwinslow: Dear @MarkMeadows   All you do is lie.  Every day.  Every way.  You just lie. https://t.co/GcVzhmtJDE,Chief of Staff Mark Meadows says WH aiming to have 100 million doses of Coronavirus vaccine ready to go by end of October. Says goal is to make the the most vulnerable and highest risk people are vaccinated in that first group. Says up to 300 million doses would be ready in Jan. https://t.co/7YHttsd5au,,,,donwinslow;MarkMeadows,1323299142135959560,0,0,0,0,1.3232917607605617e+18
842,7586,88571,2020-11-02 15:51:16,lsahren,True,False,RT @JoeBiden: This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.,,,,,,1323291596541071360,0,0,0,0,1.3232912756137574e+18
